building_type,from,to,weight,relationship
Civic / Government,CIV_ENTRY,CIV_LOBBY,5,must_adjoin
Civic / Government,CIV_ENTRY,CIV_SECURITY,4,must_adjoin
Civic / Government,CIV_SECURITY,CIV_ENTRY,4,must_adjoin
Civic / Government,CIV_LOBBY,CIV_SERVICE,3,should_adjoin
Civic / Government,CIV_LOBBY,CIV_MEETING,2,should_adjoin
Civic / Government,CIV_SERVICE,CIV_LOBBY,3,should_adjoin
Civic / Government,CIV_SERVICE,CIV_BACK_OFFICE,3,should_adjoin
Civic / Government,CIV_MEETING,CIV_LOBBY,2,should_adjoin
Civic / Government,CIV_MEETING,CIV_AV,3,should_adjoin
Civic / Government,CIV_BACK_OFFICE,CIV_SERVICE,3,should_adjoin
Civic / Government,CIV_CONF,CIV_BACK_OFFICE,3,should_adjoin
Civic / Government,CIV_AV,CIV_MEETING,3,should_adjoin
Civic / Government,CIV_RESTROOM,CIV_LOBBY,2,should_adjoin
Convention Center / Exhibition Hall,CC_LOBBY,CC_EXHIBIT_HALL,5,must_adjoin
Convention Center / Exhibition Hall,CC_LOBBY,CC_PREFUNCTION,3,should_adjoin
Convention Center / Exhibition Hall,CC_LOBBY,CC_RESTROOM,3,should_adjoin
Convention Center / Exhibition Hall,CC_LOBBY,CC_VERTICAL_CIRC,4,should_adjoin
Convention Center / Exhibition Hall,CC_EXHIBIT_HALL,CC_LOADING,5,must_adjoin
Convention Center / Exhibition Hall,CC_EXHIBIT_HALL,CC_SERVICE_CORRIDOR,5,must_adjoin
Convention Center / Exhibition Hall,CC_EXHIBIT_HALL,CC_LOBBY,5,must_adjoin
Convention Center / Exhibition Hall,CC_BALLROOM,CC_PREFUNCTION,5,must_adjoin
Convention Center / Exhibition Hall,CC_BALLROOM,CC_KITCHEN,4,should_adjoin
Convention Center / Exhibition Hall,CC_PREFUNCTION,CC_LOBBY,3,should_adjoin
Convention Center / Exhibition Hall,CC_PREFUNCTION,CC_BALLROOM,5,must_adjoin
Convention Center / Exhibition Hall,CC_PREFUNCTION,CC_MEETING_ROOM,3,should_adjoin
Convention Center / Exhibition Hall,CC_MEETING_ROOM,CC_PREFUNCTION,3,should_adjoin
Convention Center / Exhibition Hall,CC_BOARDROOM,CC_PREFUNCTION,2,should_adjoin
Convention Center / Exhibition Hall,CC_KITCHEN,CC_BALLROOM,4,should_adjoin
Convention Center / Exhibition Hall,CC_KITCHEN,CC_SERVICE_CORRIDOR,3,should_adjoin
Convention Center / Exhibition Hall,CC_LOADING,CC_EXHIBIT_HALL,5,must_adjoin
