building_category,space_id,canonical_name,raw_name_example,raw_department_example,confidence_0_1,notes
Civic / Government,CIV_ENTRY,Main Entry / Security Screening,,,,
Civic / Government,CIV_SECURITY,Security Screening Area,,,,
Civic / Government,CIV_LOBBY,Lobby / Public Hall,,,,
Civic / Government,CIV_SERVICE,Public Service Counters,,,,
Civic / Government,CIV_MEETING,Public Meeting / Council Chamber,,,,
Civic / Government,CIV_BACK_OFFICE,Back Office / Staff Work,,,,
Civic / Government,CIV_CONF,Conference Rooms,,,,
Civic / Government,CIV_AV,AV / Control Room,,,,
Civic / Government,CIV_RESTROOM,Public Restrooms,,,,
Civic / Government,CIV_MECH,Main Mechanical,,,,
Convention Center / Exhibition Hall,CC_LOBBY,Grand Lobby / Registration Hall,,,,
Convention Center / Exhibition Hall,CC_EXHIBIT_HALL,Exhibit Hall (Column-Free),,,,
Convention Center / Exhibition Hall,CC_BALLROOM,Grand Ballroom,,,,
Convention Center / Exhibition Hall,CC_PREFUNCTION,Pre-Function / Foyer,,,,
Convention Center / Exhibition Hall,CC_MEETING_ROOM,Meeting Rooms (Breakout),,,,
Convention Center / Exhibition Hall,CC_BOARDROOM,Boardroom / Executive Meeting,,,,
Convention Center / Exhibition Hall,CC_KITCHEN,Central Kitchen / Commissary,,,,
Convention Center / Exhibition Hall,CC_LOADING,Loading / Receiving,,,,
Convention Center / Exhibition Hall,CC_SERVICE_CORRIDOR,Service Corridor,,,,
Convention Center / Exhibition Hall,CC_VERTICAL_CIRC,Escalators / Elevators / Stairs,,,,
Convention Center / Exhibition Hall,CC_CONCESSION,Concessions / Food Court,,,,
Convention Center / Exhibition Hall,CC_RESTROOM,Public Restrooms,,,,
Convention Center / Exhibition Hall,CC_ADMIN,Administrative Offices,,,,
Convention Center / Exhibition Hall,CC_SECURITY,Security / First Aid,,,,
Convention Center / Exhibition Hall,CC_STORAGE,General Storage / Furniture Warehouse,,,,
Convention Center / Exhibition Hall,CC_TELECOM,Telecom / IT / AV Hub,,,,
Convention Center / Exhibition Hall,CC_MECH,Main Mechanical,,,,
Convention Center / Exhibition Hall,CC_ELEC,Main Electrical Room,,,,
Cruise Terminal,A.01,Main Entry Lobby / Check-In Hall,,,,
Cruise Terminal,A.02,Security Screening (TSA/CBP),,,,
Cruise Terminal,A.03,Post-Security Holding / Waiting,,,,
Cruise Terminal,A.04,VIP / Loyalty Lounge,,,,
Cruise Terminal,A.05,Passenger Amenities (Retail/F&B),,,,
Cruise Terminal,A.06,Family / Accessible Waiting,,,,
Cruise Terminal,A.07,Boarding Bridge Vestibule,,,,
Cruise Terminal,B.01,Dedicated Debarkation Ramp,,,,
Cruise Terminal,B.02,CBP Federal Inspection Service (FIS),,,,
Cruise Terminal,B.03,Baggage Claim Hall,,,,
Cruise Terminal,B.04,Post-CBP / Meeter-Greeter,,,,
Cruise Terminal,C.01,Luggage Laydown – Embark,,,,
Cruise Terminal,C.02,Luggage Laydown – Debark,,,,
Cruise Terminal,C.03,BHS Equipment Room,,,,
Cruise Terminal,C.04,Cart / Equipment Storage,,,,
Cruise Terminal,D.01,Passenger Elevators (4 ea.),,,,
Cruise Terminal,D.02,Escalators (4 pairs up/down),,,,
Cruise Terminal,D.03,Monumental / Feature Stair,,,,
Cruise Terminal,D.04,Service Elevator(s),,,,
Cruise Terminal,D.05,Egress Stairs (code-required),,,,
Cruise Terminal,E.01,Terminal Operations / Port Office,,,,
Cruise Terminal,E.02,CBP / Federal Office Suite,,,,
Cruise Terminal,E.03,Cruise Line Operations,,,,
Cruise Terminal,E.04,Staff Break / Locker Area,,,,
Cruise Terminal,E.05,Janitorial / Housekeeping,,,,
Cruise Terminal,E.06,Loading Dock / Service Yard,,,,
Cruise Terminal,F.01,Main Electrical / Switchgear,,,,
Cruise Terminal,F.02,HVAC Mechanical Room(s),,,,
Cruise Terminal,F.03,Fire Pump / Sprinkler Room,,,,
Cruise Terminal,F.04,IT / Telecom / Security,,,,
Cruise Terminal,F.05,Emergency Generator,,,,
Cruise Terminal,F.06,Elevator Machine Rooms,,,,
Cruise Terminal,G.01,Public Restrooms (multi-location),,,,
Cruise Terminal,G.02,Nursing / Mother's Room,,,,
Cruise Terminal,G.03,Pet Relief Area,,,,
Cruise Terminal,G.04,Interfaith / Meditation Room,,,,
Multi-Use Civic Venue,A.01,Event Reception / Registration Hall,,,,
Multi-Use Civic Venue,A.02,Open Event Floor (Security Zone Absorbed),,,,
Multi-Use Civic Venue,A.03,Premier Event Hall,,,,
Multi-Use Civic Venue,A.04,Private Event Suite,,,,
Multi-Use Civic Venue,A.05,Public-Facing Restaurant / Café / Market,,,,
Multi-Use Civic Venue,A.06,Community Wellness Room,,,,
Multi-Use Civic Venue,A.07,Waterside Terrace / Viewing Gallery,,,,
Multi-Use Civic Venue,B.01,Secondary Service Access (Closed),,,,
Multi-Use Civic Venue,B.02,Indoor Recreation / Fitness Events,,,,
Multi-Use Civic Venue,B.03,Large-Format Community Events,,,,
Multi-Use Civic Venue,B.04,Maritime History Exhibit / Art Gallery,,,,
Multi-Use Civic Venue,C.01,Event Staging / Setup Area,,,,
Multi-Use Civic Venue,C.02,Vendor Load-In / Overflow Market,,,,
Multi-Use Civic Venue,C.03,BHS Equipment Room (Fixed),,,,
Multi-Use Civic Venue,C.04,Event Equipment Storage,,,,
Multi-Use Civic Venue,D.01,Public Elevators,,,,
Multi-Use Civic Venue,D.02,Public Escalators,,,,
Multi-Use Civic Venue,D.03,Monumental / Feature Stair,,,,
Multi-Use Civic Venue,D.04,Event Catering / AV Freight Elevator,,,,
Multi-Use Civic Venue,D.05,Egress Stairs (code-required),,,,
Multi-Use Civic Venue,E.01,Event Management Office,,,,
Multi-Use Civic Venue,E.02,CBP / Federal Office Suite (Secured/Locked),,,,
Multi-Use Civic Venue,E.03,Event Production Suite,,,,
Multi-Use Civic Venue,E.04,Event Crew Break Room,,,,
Multi-Use Civic Venue,E.05,Janitorial / Housekeeping,,,,
Multi-Use Civic Venue,E.06,Event Load-In / Load-Out,,,,
Multi-Use Civic Venue,F.01,Main Electrical / Switchgear,,,,
Multi-Use Civic Venue,F.02,HVAC Mechanical Room(s),,,,
Multi-Use Civic Venue,F.03,Fire Pump / Sprinkler Room,,,,
Multi-Use Civic Venue,F.04,IT / Telecom / Security,,,,
Multi-Use Civic Venue,F.05,Emergency Generator,,,,
Multi-Use Civic Venue,F.06,Elevator Machine Rooms,,,,
Multi-Use Civic Venue,G.01,Public Restrooms (multi-location),,,,
Multi-Use Civic Venue,G.02,Wellness Room / Nursing,,,,
Multi-Use Civic Venue,G.03,Pet Relief Area,,,,
Multi-Use Civic Venue,G.04,Community Meditation / Meeting Room,,,,
Cruise Terminal,CT_CHECKIN_HALL,Main Entry Lobby / Check-In Hall,,,,
Cruise Terminal,CT_SECURITY,Security Screening (TSA/CBP),,,,
Cruise Terminal,CT_HOLDING,Post-Security Queuing / Holding,,,,
Cruise Terminal,CT_VIP_LOUNGE,VIP / Loyalty Lounge,,,,
Cruise Terminal,CT_RETAIL_FB,Passenger Amenities (Retail / F&B),,,,
Cruise Terminal,CT_FAMILY_WAIT,Family / Accessible Waiting,,,,
Cruise Terminal,CT_BOARDING,Boarding Bridge / Gangway Vestibule,,,,
Cruise Terminal,CT_DEBARK_RAMP,Dedicated Debarkation Ramp,,,,
Cruise Terminal,CT_FIS,CBP Federal Inspection Service (FIS),,,,
Cruise Terminal,CT_BAGGAGE_CLAIM,Baggage Claim Hall,,,,
Cruise Terminal,CT_MEETER_GREETER,Post-CBP / Meeter-Greeter,,,,
Cruise Terminal,CT_LUGGAGE_EMBARK,Luggage Laydown — Embarkation,,,,
Cruise Terminal,CT_LUGGAGE_DEBARK,Luggage Laydown — Debarkation,,,,
Cruise Terminal,CT_BHS_EQUIP,BHS Equipment Room,,,,
Cruise Terminal,CT_CART_STORAGE,Cart / Equipment Storage,,,,
Cruise Terminal,CT_ELEVATORS,Passenger Elevators (4 ea.),,,,
Cruise Terminal,CT_ESCALATORS,Escalators (4 pairs up/down),,,,
Cruise Terminal,CT_MONUMENT_STAIR,Monumental / Feature Stair,,,,
Cruise Terminal,CT_SERVICE_ELEV,Service Elevator(s),,,,
Cruise Terminal,CT_EGRESS_STAIRS,Egress Stairs (code-required),,,,
Cruise Terminal,CT_TERMINAL_OPS,Terminal Operations / Port Office,,,,
Cruise Terminal,CT_CBP_OFFICES,CBP / Federal Office Suite,,,,
Cruise Terminal,CT_CRUISE_OPS,Cruise Line Operations Suite,,,,
Cruise Terminal,CT_STAFF_BREAK,Staff Break Room / Locker Area,,,,
Cruise Terminal,CT_JANITORIAL,Janitorial / Housekeeping,,,,
Cruise Terminal,CT_LOADING_DOCK,Loading Dock / Service Yard,,,,
Cruise Terminal,CT_ELECTRICAL,Main Electrical Room / Switchgear,,,,
Cruise Terminal,CT_HVAC,HVAC Mechanical Room(s),,,,
Cruise Terminal,CT_FIRE_PUMP,Fire Pump / Sprinkler Room,,,,
Cruise Terminal,CT_IT_TELECOM,IT / Telecom / Security (MDF/IDF),,,,
Cruise Terminal,CT_GENERATOR,Emergency Generator Room,,,,
Cruise Terminal,CT_ELEV_MACHINE,Elevator Machine Rooms,,,,
